sample_size;distance_metric;use_S;mean_ae_sil;std_ae_sil;mean_ae_ch;std_ae_ch;mean_ae_db;std_ae_db;mean_cae_sil;std_cae_sil;mean_cae_ch;std_cae_ch;mean_cae_db;std_cae_db;mean_vae_sil;std_vae_sil;mean_vae_ch;std_vae_ch;mean_vae_db;std_vae_db;mean_cvae_sil;std_cvae_sil;mean_cvae_ch;std_cvae_ch;mean_cvae_db;std_cvae_db
50;cosine;True;0.22623895;0.083329886;55.960987;38.255905;2.3495905282624205;1.0823506959007068;0.21692936;0.086910136;67.94381;53.822437;2.100965840044112;1.0601396863668613;0.41138062;0.07183773;378.32156;332.846;1.1110414849597363;0.7059226020598883;0.4358308;0.085975386;343.05505;206.14665;0.9833240462681321;0.5056852552326908
50;euclidean;False;0.24328159;0.09000012;31.016735;18.995594;2.538045512306469;2.071293009317473;0.26475602;0.10814179;45.867275;37.695793;2.0403752327871856;1.3410996068926773;0.3716599;0.08766178;145.01035;131.16963;1.3819078181501852;0.8134396147461023;0.3838753;0.07699211;146.8984;110.929184;1.2931530232239508;0.672640009882052
50;euclidean;True;0.21948388;0.08380926;50.424526;29.165514;1.989902490677329;1.1430894161571261;0.21001917;0.08830879;50.040928;38.413975;2.3603185811880776;1.411443090184159;0.43042168;0.08438028;352.041;297.30048;1.152946296828369;0.7518065134773099;0.4258119;0.09008607;344.1651;264.39017;0.9769721895415171;0.5459648899552989
50;manhattan;False;0.25180888;0.09109208;35.96319;26.526302;2.7372622550829204;2.224075439286791;0.25737703;0.10135842;41.809643;29.280558;2.3459789308087116;1.6185205053464313;0.39566505;0.099760436;174.5682;124.632256;1.3913555777989388;0.7276544207517823;0.41150492;0.082810074;166.32819;138.30074;1.3298581691377196;0.7543667279384388
50;manhattan;True;0.2129738;0.082997076;47.971573;40.558598;2.128670979897923;0.9146593320731901;0.20477453;0.051340584;47.346024;30.376326;2.2914558587922387;0.9361268757005884;0.4357508;0.09061486;381.7285;392.92078;1.2561577855358113;0.9847074371362102;0.4286275;0.05663614;236.01851;198.96138;1.2834511118878724;0.7873229258840834
100;cosine;False;0.2654251;0.07155837;86.32598;47.79899;2.054313128143727;1.8111531264057668;0.26541096;0.08071894;88.35874;48.349148;2.1968376483586383;1.327904395393505;0.4061123;0.08213558;295.1182;191.61626;1.0231560306778513;0.34207057438307853;0.43733767;0.048944097;321.5528;174.46051;1.082450461795028;0.5400617495247967
100;cosine;True;0.340095;0.06753882;229.34221;109.835594;1.4335739289148326;0.8240736722659151;0.33051586;0.066555284;208.97534;127.725;1.3839377912427502;0.5511859554549126;0.5104551;0.075183116;584.6801;316.46332;0.8235271386770104;0.6832846011418987;0.5288138;0.058934473;667.9028;318.48456;0.720886281719578;0.3508935054754456
100;euclidean;False;0.27788562;0.08291336;83.94728;33.146526;2.1916211489916955;2.701027525055538;0.26772264;0.07988796;81.105354;50.317097;1.8564629001418966;0.7697337016607582;0.40899095;0.07466783;291.83725;187.74905;1.1272493606981027;0.4872738034302351;0.4179951;0.06667594;273.3575;142.09189;1.0527109164834367;0.5894202882064188
100;euclidean;True;0.3830071;0.057268165;254.25603;152.31358;1.1281430750742851;0.5167849287004042;0.37649167;0.06632726;213.50005;95.64696;1.0682117791248964;0.4218818443305561;0.5740116;0.05979965;676.3151;326.6805;0.6292006849244804;0.21800904466640303;0.5461163;0.055063143;591.75385;306.9448;0.6115626375642009;0.13749006543663675
100;manhattan;False;0.27420032;0.07106482;77.90991;32.93319;1.863604835635169;1.1506376020309454;0.2771376;0.07147621;84.611404;61.312637;2.0455337103836224;1.78091253242761;0.4246126;0.068630785;283.90353;174.14838;0.9897374877597387;0.402207480484569;0.42399022;0.049328595;293.76965;162.00586;1.063619540155959;0.37565530055520924
100;manhattan;True;0.3663311;0.06006343;213.12653;108.790535;3.0631957499690534;10.177696394007645;0.38221505;0.06382116;200.67007;90.869774;1.2382512686938534;0.5368878168377703;0.5473051;0.058430124;600.12164;243.61957;0.6134531581842523;0.1126991741773188;0.54924315;0.05237227;642.2734;330.14328;0.6473152652364836;0.17551247515942262
